Config_Idx,CSP_Reg,Time_Window,Kernel_Length,Dropout_Rate,Avg_Accuracy,Avg_F1
1,None,"(2.0, 6.0)",64,0.4,0.6933,0.6899
2,None,"(2.0, 6.0)",64,0.5,0.6895,0.6865
3,None,"(2.0, 6.0)",128,0.4,0.6887,0.6864
4,None,"(2.0, 6.0)",128,0.5,0.6848,0.6807
5,None,"(2.5, 5.5)",64,0.4,0.6373,0.6329
6,None,"(2.5, 5.5)",64,0.5,0.6559,0.6450
7,None,"(2.5, 5.5)",128,0.4,0.6319,0.6244
8,None,"(2.5, 5.5)",128,0.5,0.6273,0.6217
9,ledoit_wolf,"(2.0, 6.0)",64,0.4,0.6872,0.6831
10,ledoit_wolf,"(2.0, 6.0)",64,0.5,0.6818,0.6788
11,ledoit_wolf,"(2.0, 6.0)",128,0.4,0.6741,0.6685
12,ledoit_wolf,"(2.0, 6.0)",128,0.5,0.6686,0.6666
13,ledoit_wolf,"(2.5, 5.5)",64,0.4,0.6227,0.6129
14,ledoit_wolf,"(2.5, 5.5)",64,0.5,0.6451,0.6400
15,ledoit_wolf,"(2.5, 5.5)",128,0.4,0.6319,0.6225
16,ledoit_wolf,"(2.5, 5.5)",128,0.5,0.6312,0.6233
