sweep 2 :

Config_Idx,CSP_Components,Depth_Multiplier,Learning_Rate,Batch_Size,Avg_Accuracy,Avg_F1
1,4,1,0.001,16,0.7011,0.6988
2,4,1,0.001,32,0.6949,0.6917
3,4,1,0.0005,16,0.708,0.7036
4,4,1,0.0005,32,0.7034,0.6961
5,4,2,0.001,16,0.7003,0.6979
6,4,2,0.001,32,0.7049,0.702
7,4,2,0.0005,16,0.7042,0.6994
8,4,2,0.0005,32,0.7119,0.7095
9,6,1,0.001,16,0.6895,0.6848
10,6,1,0.001,32,0.6933,0.69
11,6,1,0.0005,16,0.6787,0.6751
12,6,1,0.0005,32,0.691,0.6878
13,6,2,0.001,16,0.7034,0.7004
14,6,2,0.001,32,0.7034,0.7012
15,6,2,0.0005,16,0.7003,0.6971


sweep 3 :

1,6,2,0.0001,8,0.6879,0.6858
2,6,2,0.0001,16,0.6833,0.6823
3,6,2,0.002,8,0.6988,0.6971
9,8,2,0.0001,8,0.6802,0.6777
10,8,2,0.0001,16,0.6710,0.6674
11,8,2,0.002,8,0.6957,0.6946


Sweep 4 : GAN 
Config_Idx,WGAN_Epochs,Filter_Selectivity,Aug_Ratio,Paradigm,Avg_Accuracy,Avg_F1
1,100,0.25,0.5,mix,0.6079,0.6066
3,100,0.25,1.0,mix,0.6310,0.6202
5,100,1.0,0.5,mix,0.5916,0.5878
6,100,1.0,0.5,pretrain,0.5522,0.5437
7,100,1.0,1.0,mix,0.6664,0.6629
8,100,1.0,1.0,pretrain,0.5475,0.5373
9,150,0.25,0.5,mix,0.6756,0.6740
11,150,0.25,1.0,mix,0.6756,0.6738
13,150,1.0,0.5,mix,0.6772,0.6755
15,150,1.0,1.0,mix,0.6733,0.6719
